MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,,,
PARC AUTO LA 31.12.2020,,,,,,,,,,,,,,,
CATEGORIA,Numar,Vechime (ani),,,,,,Carburant,,,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Benzina,Motorina,Electric,Hibrid01(benzina+electric),0--4,5--8,9--12,peste 12
,,,,,,,,,,,Hibrid02(motorina+electric),,,,
,,,,,,,,,,,Hibrid03(GPL+electric),,,,
   model MAGNET SPORT,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model nespecificat,14,0,0,0,14,0,0,14,0,0,0,0,0,4,10
 total marca KAWASAKI,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model VN-15,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
 total marca KEEWAY,20,0,0,0,18,2,0,20,0,0,0,0,0,7,13
   model F-ACT,5,0,0,0,5,0,0,5,0,0,0,0,0,2,3
   model FLASH,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model FOCUS/RX8,3,0,0,0,2,1,0,3,0,0,0,0,0,0,3
   model HURRICANE,3,0,0,0,3,0,0,3,0,0,0,0,0,1,2
   model MATRIX,8,0,0,0,7,1,0,8,0,0,0,0,0,4,4
 total marca KINROAD,23,0,0,0,23,0,0,23,0,0,0,0,0,1,22
   model 50SV,8,0,0,0,8,0,0,8,0,0,0,0,0,0,8
   model HUNTER,7,0,0,0,7,0,0,7,0,0,0,0,0,1,6
   model RUN WIND,6,0,0,0,6,0,0,6,0,0,0,0,0,0,6
   model SPORT WIND,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model XT50QT-10,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
 total marca KUBA,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
   model K16,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
 total marca KYMCO,22,1,1,3,9,3,5,22,0,0,0,2,2,7,11
   model AGILITY,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model AGILITY 50,8,1,0,2,5,0,0,8,0,0,0,1,1,4,2
   model AGILITY CARRY,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model AGILITY50,3,0,0,0,3,0,0,3,0,0,0,0,0,3,0
   model COBRA,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model DINK,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model DINK 50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
