MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,
PARC AUTO LA 31.12.2019,,,,,,,,,,,,,
CATEGORIA DE FOLOSINTA,Numar,Vechime (ani),,,,,,Carburant,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Motorina,Benzina,0--4,5--8,9--12,peste 12
   model FGM19,2,1,1,0,0,0,0,0,0,2,0,0,0
   model FGM37,4,2,2,0,0,0,0,0,0,3,1,0,0
   model nespecificat,4,2,2,0,0,0,0,0,0,4,0,0,0
 total marca FILLIAT,7,0,0,0,0,0,7,0,0,0,0,0,7
   model nespecificat,7,0,0,0,0,0,7,0,0,0,0,0,7
 total marca FIN SREMA,2,0,0,0,1,1,0,0,0,0,0,0,2
   model nespecificat,2,0,0,0,1,1,0,0,0,0,0,0,2
 total marca FINKL,8,2,2,1,0,0,3,0,0,4,0,1,3
   model JUMBO,1,0,0,0,0,0,1,0,0,0,0,0,1
   model SATTEL GEKROPFT,1,1,0,0,0,0,0,0,0,1,0,0,0
   model SATTEL GERADE,1,0,1,0,0,0,0,0,0,1,0,0,0
   model nespecificat,5,1,1,1,0,0,2,0,0,2,0,1,2
 total marca FLANDRIA,5,0,0,0,0,0,5,0,0,0,0,0,5
   model nespecificat,5,0,0,0,0,0,5,0,0,0,0,0,5
 total marca FLIEGL,932,4,25,138,424,298,43,0,0,16,91,175,650
   model 350,1,0,0,0,1,0,0,0,0,0,0,0,1
   model DHKA,1,0,1,0,0,0,0,0,0,1,0,0,0
   model DHKA 350,2,0,2,0,0,0,0,0,0,0,2,0,0
   model DHKA 350-27,1,0,0,0,1,0,0,0,0,0,0,0,1
   model DHKA390,3,0,3,0,0,0,0,0,0,3,0,0,0
   model DHKF,5,0,3,2,0,0,0,0,0,1,4,0,0
   model DHKS 390,1,0,1,0,0,0,0,0,0,0,1,0,0
   model DHKS-350,1,0,0,1,0,0,0,0,0,0,1,0,0
   model FLT 340,1,0,0,0,1,0,0,0,0,0,0,1,0
   model MEGA,3,0,0,3,0,0,0,0,0,0,0,3,0
   model SDS,21,0,8,13,0,0,0,0,0,2,19,0,0
   model SDS 350,1,0,0,1,0,0,0,0,0,0,1,0,0
   model SDS 380,5,4,0,1,0,0,0,0,0,4,1,0,0
   model SDS 390,14,0,4,10,0,0,0,0,0,3,11,0,0
   model SDS 410-T,1,0,0,1,0,0,0,0,0,0,1,0,0
   model SDS350,3,0,0,3,0,0,0,0,0,0,3,0,0
   model SDS390,1,0,1,0,0,0,0,0,0,1,0,0,0
   model nespecificat,867,0,2,103,421,298,43,0,0,1,47,171,648
 total marca FLOOR,50,0,0,0,1,5,44,0,0,0,0,1,49
   model FLO-12-20K1,1,0,0,0,0,1,0,0,0,0,0,0,1
   model FLO12,3,0,0,0,0,0,3,0,0,0,0,0,3
   model nespecificat,46,0,0,0,1,4,41,0,0,0,0,1,45
 total marca FLUID,6,0,0,0,4,2,0,0,0,0,0,2,4
   model CSP-D2-30-SB,1,0,0,0,1,0,0,0,0,0,0,0,1
   model nespecificat,5,0,0,0,3,2,0,0,0,0,0,2,3
 total marca FOREMAR,5,0,0,0,0,0,5,0,0,0,0,0,5
   model nespecificat,5,0,0,0,0,0,5,0,0,0,0,0,5
 total marca FORMAT,2,0,0,0,0,0,2,0,0,0,0,0,2
   model nespecificat,2,0,0,0,0,0,2,0,0,0,0,0,2
 total marca FOURNIER,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca FRA MAR,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca FRANCHIN,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca FRANTA,26,0,0,0,0,5,21,0,0,0,0,0,26
   model nespecificat,26,0,0,0,0,5,21,0,0,0,0,0,26
 total marca FREJAT,7,0,0,0,0,0,7,0,0,0,0,0,7
   model ST3400,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,6,0,0,0,0,0,6,0,0,0,0,0,6
 total marca FREUHAUF,64,1,0,2,27,15,19,0,0,1,1,14,48
   model 25,1,0,0,0,0,1,0,0,0,0,0,0,1
   model BENALU,2,0,0,0,0,1,1,0,0,0,0,0,2
   model CT-JA3-35,1,0,0,0,1,0,0,0,0,0,0,1,0
   model ICE LINER,1,0,0,0,0,1,0,0,0,0,0,0,1
   model MAXISPEED,1,0,0,0,1,0,0,0,0,0,0,0,1
   model nespecificat,58,1,0,2,25,12,18,0,0,1,1,13,43
 total marca FRIEDERICH,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca FROMBERGER,16,0,0,0,0,0,16,0,0,0,0,0,16
   model nespecificat,16,0,0,0,0,0,16,0,0,0,0,0,16
 total marca FROMCO,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca FRUEHAUF,954,2,8,5,153,162,624,0,0,10,3,41,900
   model BEN CERE,1,0,0,0,0,0,1,0,0,0,0,0,1
   model BENALU,23,0,0,0,0,3,20,0,0,0,0,0,23
   model BENALU S/R,1,0,0,0,0,0,1,0,0,0,0,0,1
   model CHEREAU,1,0,0,0,0,0,1,0,0,0,0,0,1
   model EUROLINER,1,0,0,0,0,0,1,0,0,0,0,0,1
   model FRUEHAF TF 34C,1,0,0,0,0,0,1,0,0,0,0,0,1
   model L1360,1,0,0,0,0,0,1,0,0,0,0,0,1
   model LAMBERET,1,0,0,0,0,0,1,0,0,0,0,0,1
   model LAWRENCE DAVID,1,0,0,0,0,0,1,0,0,0,0,0,1
   model MAXISPEED,1,0,0,0,1,0,0,0,0,0,0,0,1
   model MAXIXPEED,1,0,0,0,1,0,0,0,0,0,0,0,1
   model PENALVA,1,0,0,0,1,0,0,0,0,0,0,0,1
   model S/R,1,0,0,1,0,0,0,0,0,0,1,0,0
   model SR3E,2,0,0,0,0,2,0,0,0,0,0,0,2
   model T34C1NL,1,0,0,0,0,0,1,0,0,0,0,0,1
   model YCH-FA2-73/20,3,0,0,1,2,0,0,0,0,0,1,0,2
   model YPH-FA2-73/18-D,1,0,0,0,1,0,0,0,0,0,0,1,0
   model nespecificat,912,2,8,3,147,157,595,0,0,10,1,40,861
 total marca FRUEHAUF FRANCE,10,0,0,0,0,1,9,0,0,0,0,0,10
   model BENALU,5,0,0,0,0,0,5,0,0,0,0,0,5
   model nespecificat,5,0,0,0,0,1,4,0,0,0,0,0,5
 total marca FRUEHAUF-BENALU,6,0,0,0,0,0,6,0,0,0,0,0,6
   model nespecificat,6,0,0,0,0,0,6,0,0,0,0,0,6
 total marca FRUMECAR,1,1,0,0,0,0,0,0,0,1,0,0,0
   model ECA-1000,1,1,0,0,0,0,0,0,0,1,0,0,0
 total marca FSN,7,0,0,0,0,5,2,0,0,0,0,0,7
   model nespecificat,7,0,0,0,0,5,2,0,0,0,0,0,7
 total marca GABLER,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca GASSMANN,1,0,0,0,0,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,1,0,0,0,0,0,0,1
 total marca GAUPEN-HENVER A/S,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca GB SREMA,272,2,1,4,37,82,146,0,0,2,2,9,259
   model CHBSAL,1,0,0,0,0,1,0,0,0,0,0,0,1
   model CONVERTED,1,0,0,0,0,0,1,0,0,0,0,0,1
   model CR/643/17,2,2,0,0,0,0,0,0,0,2,0,0,0
   model DAN-BUR,1,0,0,0,1,0,0,0,0,0,0,0,1
   model F6375,1,0,0,0,0,0,1,0,0,0,0,0,1
   model LTWT 3,1,0,0,0,0,0,1,0,0,0,0,0,1
   model M+G,1,0,0,0,1,0,0,0,0,0,0,0,1
   model NEVILLES ALLY,1,0,0,0,0,1,0,0,0,0,0,0,1
   model RAVEN,1,0,0,0,0,0,1,0,0,0,0,0,1
   model S32,1,0,0,0,0,0,1,0,0,0,0,0,1
   model SF 35/3A-17.5,1,0,0,0,0,0,1,0,0,0,0,0,1
   model SF 45/3A 19.5,1,0,0,0,0,0,1,0,0,0,0,0,1
   model SFCL46,1,0,0,0,0,1,0,0,0,0,0,0,1
   model SFCL56,1,0,0,0,1,0,0,0,0,0,0,0,1
   model SFT3A/80,1,0,0,0,1,0,0,0,0,0,0,0,1
   model SPM UK111A,1,0,0,0,0,0,1,0,0,0,0,0,1
   model ST10448BV15D,1,0,0,0,0,0,1,0,0,0,0,0,1
   model STA3,1,0,0,0,0,1,0,0,0,0,0,0,1
   model TIDD,1,0,0,0,0,0,1,0,0,0,0,0,1
   model TRAILERS,1,0,0,0,0,0,1,0,0,0,0,0,1
   model TRANKERS TRAILERS,1,0,0,0,0,0,1,0,0,0,0,0,1
   model WEIGHTMASTER,1,0,0,0,0,0,1,0,0,0,0,0,1
   model WILSON,1,0,0,0,0,0,1,0,0,0,0,0,1
   model ZT3ECS,1,0,0,0,0,0,1,0,0,0,0,0,1
   model ZT3FCS,2,0,0,0,0,0,2,0,0,0,0,0,2
   model nespecificat,245,0,1,4,33,78,129,0,0,0,2,9,234
 total marca GEFRA,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca GENERAL TRAILERS,564,0,0,0,30,525,9,0,0,0,0,1,563
   model BEN CERE,5,0,0,0,0,5,0,0,0,0,0,0,5
   model BENALU,25,0,0,0,0,24,1,0,0,0,0,0,25
   model BENALU/GT,1,0,0,0,0,1,0,0,0,0,0,0,1
   model BENCERE,18,0,0,0,0,18,0,0,0,0,0,0,18
   model FRUEHAUF,1,0,0,0,0,1,0,0,0,0,0,0,1
   model FRUEHAUF TRAILOR,2,0,0,0,0,2,0,0,0,0,0,0,2
   model GT FRUEHAUF,1,0,0,0,0,1,0,0,0,0,0,0,1
   model RINALDO,2,0,0,0,1,1,0,0,0,0,0,0,2
   model RINALDO-C,38,0,0,0,0,38,0,0,0,0,0,0,38
   model SYY3KP,1,0,0,0,1,0,0,0,0,0,0,0,1
   model SYY3LL,1,0,0,0,0,1,0,0,0,0,0,0,1
   model TRAILER,1,0,0,0,0,1,0,0,0,0,0,0,1
   model TRAILOR/F,1,0,0,0,0,1,0,0,0,0,0,0,1
   model nespecificat,467,0,0,0,28,431,8,0,0,0,0,1,466
 total marca GENERATIS,3,3,0,0,0,0,0,0,0,3,0,0,0
   model nespecificat,3,3,0,0,0,0,0,0,0,3,0,0,0
 total marca GERMANIA,170,0,0,0,6,26,138,0,0,0,0,0,170
   model KSAL,1,0,0,0,1,0,0,0,0,0,0,0,1
   model SRT ALE-X,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,168,0,0,0,5,26,137,0,0,0,0,0,168
 total marca GERVASI,11,0,0,0,11,0,0,0,0,0,0,8,3
   model nespecificat,11,0,0,0,11,0,0,0,0,0,0,8,3
 total marca GEUSENS LAG,24,0,0,0,0,0,24,0,0,0,0,0,24
   model nespecificat,24,0,0,0,0,0,24,0,0,0,0,0,24
 total marca GFOLLNER,3,0,0,0,0,0,3,0,0,0,0,0,3
   model nespecificat,3,0,0,0,0,0,3,0,0,0,0,0,3
 total marca GINSBERG,3,0,0,0,1,2,0,0,0,0,0,1,2
   model nespecificat,3,0,0,0,1,2,0,0,0,0,0,1,2
 total marca GLOGGER,5,0,0,0,1,1,3,0,0,0,0,0,5
   model nespecificat,5,0,0,0,1,1,3,0,0,0,0,0,5
 total marca GLOSTER,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca GNIOTPOL,2,2,0,0,0,0,0,0,0,2,0,0,0
   model nespecificat,2,2,0,0,0,0,0,0,0,2,0,0,0
 total marca GODDEERIS (B),2,0,0,0,0,0,2,0,0,0,0,0,2
   model nespecificat,2,0,0,0,0,0,2,0,0,0,0,0,2
 total marca GODDERIS,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca GOFA,74,3,0,0,19,4,48,0,0,3,0,4,67
   model CSA,3,3,0,0,0,0,0,0,0,3,0,0,0
   model nespecificat,71,0,0,0,19,4,48,0,0,0,0,4,67
 total marca GOLDHOFER,219,3,2,13,36,29,136,0,0,5,11,14,189
   model STHP/XLE 8(3+5),1,0,0,0,1,0,0,0,0,0,0,1,0
   model STNL36,1,0,0,0,0,1,0,0,0,0,0,0,1
   model STZ-L 4,1,0,0,0,1,0,0,0,0,0,0,0,1
   model nespecificat,216,3,2,13,34,28,136,0,0,5,11,13,187
 total marca GORICA,5,0,0,0,0,0,5,0,0,0,0,0,5
   model nespecificat,5,0,0,0,0,0,5,0,0,0,0,0,5
 total marca GOSA FRUEHAUF,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca GOTHAER,55,0,0,0,0,1,54,0,0,0,0,0,55
   model nespecificat,55,0,0,0,0,1,54,0,0,0,0,0,55
 total marca GR SREMA,1,0,0,0,0,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,1,0,0,0,0,0,0,1
 total marca GRAF,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca GRANALU,1,0,0,1,0,0,0,0,0,0,1,0,0
   model nespecificat,1,0,0,1,0,0,0,0,0,0,1,0,0
 total marca GRAPAR,40,12,28,0,0,0,0,0,0,34,6,0,0
   model nespecificat,40,12,28,0,0,0,0,0,0,34,6,0,0
 total marca GRAS,6,1,1,2,2,0,0,0,0,1,1,3,1
   model GS,2,0,1,1,0,0,0,0,0,0,1,1,0
   model nespecificat,4,1,0,1,2,0,0,0,0,1,0,2,1
 total marca GRAY ADAMS,83,0,0,1,21,28,33,0,0,0,1,2,80
   model GA12MR,1,0,0,0,0,0,1,0,0,0,0,0,1
   model SMXDA3BFLEF032723,1,0,0,1,0,0,0,0,0,0,1,0,0
   model nespecificat,81,0,0,0,21,28,32,0,0,0,0,2,79
 total marca GRAY AND ADA MS'',1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca GRAY AND ADAMS,4,0,0,0,2,2,0,0,0,0,0,0,4
   model GA12MR,1,0,0,0,1,0,0,0,0,0,0,0,1
   model nespecificat,3,0,0,0,1,2,0,0,0,0,0,0,3
 total marca GREAT DANE,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca GRECIA,2,0,0,0,0,0,2,0,0,0,0,0,2
   model nespecificat,2,0,0,0,0,0,2,0,0,0,0,0,2
 total marca GROENEWEGEN,128,0,0,0,11,33,84,0,0,0,0,4,124
   model nespecificat,128,0,0,0,11,33,84,0,0,0,0,4,124
 total marca GRU,1,0,0,0,1,0,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,1,0,0,0,0,0,0,0,1
 total marca GS,4,0,0,0,0,0,4,0,0,0,0,0,4
   model nespecificat,4,0,0,0,0,0,4,0,0,0,0,0,4
 total marca GS MEPPEL,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca GS-MEPPEL,2,0,0,0,0,0,2,0,0,0,0,0,2
   model nespecificat,2,0,0,0,0,0,2,0,0,0,0,0,2
 total marca GSH,16,0,0,0,0,15,1,0,0,0,0,0,16
   model nespecificat,16,0,0,0,0,15,1,0,0,0,0,0,16
 total marca GTI,9,0,0,0,0,1,8,0,0,0,0,0,9
   model nespecificat,9,0,0,0,0,1,8,0,0,0,0,0,9
 total marca GTI GROENINGEN,4,0,0,0,1,2,1,0,0,0,0,0,4
   model 6350,2,0,0,0,0,1,1,0,0,0,0,0,2
   model 9000LAB,1,0,0,0,0,1,0,0,0,0,0,0,1
   model 9869,1,0,0,0,1,0,0,0,0,0,0,0,1
 total marca GUDERA-MULHEIM,2,0,0,0,0,0,2,0,0,0,0,0,2
   model nespecificat,2,0,0,0,0,0,2,0,0,0,0,0,2
 total marca GUHUR,3,0,0,0,0,1,2,0,0,0,0,0,3
   model nespecificat,3,0,0,0,0,1,2,0,0,0,0,0,3
 total marca GUILLAUME,3,0,0,0,0,0,3,0,0,0,0,0,3
   model nespecificat,3,0,0,0,0,0,3,0,0,0,0,0,3
 total marca GUILLEN,30,0,0,0,12,15,3,0,0,0,0,2,28
   model CARGA SECA,3,0,0,0,3,0,0,0,0,0,0,2,1
   model FREEZER,1,0,0,0,1,0,0,0,0,0,0,0,1
   model LONA CORREDERA,10,0,0,0,3,7,0,0,0,0,0,0,10
   model SP3,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,15,0,0,0,5,8,2,0,0,0,0,0,15
 total marca GURLESENYL TREYLER,3,2,1,0,0,0,0,0,0,3,0,0,0
   model 8 AXLE LOWBED SEMI TREYLER,1,1,0,0,0,0,0,0,0,1,0,0,0
   model nespecificat,2,1,1,0,0,0,0,0,0,2,0,0,0
 total marca GUSCHL,6,0,0,0,0,0,6,0,0,0,0,0,6
   model nespecificat,6,0,0,0,0,0,6,0,0,0,0,0,6
 total marca GUVEN,5,0,0,0,1,4,0,0,0,0,0,0,5
   model nespecificat,5,0,0,0,1,4,0,0,0,0,0,0,5
 total marca H SREMA,16,0,0,5,2,1,8,0,0,0,2,3,11
   model R4020A,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,15,0,0,5,2,1,7,0,0,0,2,3,10
 total marca H&W,4,0,1,1,2,0,0,0,0,1,1,2,0
   model H&W,1,0,0,0,1,0,0,0,0,0,0,1,0
   model nespecificat,3,0,1,1,1,0,0,0,0,1,1,1,0
 total marca H.P.,2,0,0,0,0,0,2,0,0,0,0,0,2
   model nespecificat,2,0,0,0,0,0,2,0,0,0,0,0,2
 total marca H.P.HALL,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HAAS OFFENBURG,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HALL,4,0,0,0,0,0,4,0,0,0,0,0,4
   model nespecificat,4,0,0,0,0,0,4,0,0,0,0,0,4
 total marca HALLER,17,0,0,0,0,0,17,0,0,0,0,0,17
   model nespecificat,17,0,0,0,0,0,17,0,0,0,0,0,17
 total marca HANGLER,137,0,0,0,11,34,92,0,0,0,0,1,136
   model nespecificat,137,0,0,0,11,34,92,0,0,0,0,1,136
 total marca HANOLD,2,0,0,0,0,0,2,0,0,0,0,0,2
   model nespecificat,2,0,0,0,0,0,2,0,0,0,0,0,2
 total marca HARDWOOD,2,0,0,0,0,2,0,0,0,0,0,0,2
   model nespecificat,2,0,0,0,0,2,0,0,0,0,0,0,2
 total marca HARRYDA,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HAVELBERGER,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HE INRICHS,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HEERDEGEN,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HEIL,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HEINDRICKS,22,0,0,0,0,0,22,0,0,0,0,0,22
   model nespecificat,22,0,0,0,0,0,22,0,0,0,0,0,22
 total marca HEINRICHS,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HEIWO,3,0,0,0,0,0,3,0,0,0,0,0,3
   model nespecificat,3,0,0,0,0,0,3,0,0,0,0,0,3
 total marca HEKU,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HENDRICKS,179,0,0,0,5,20,154,0,0,0,0,1,178
   model GOCH,6,0,0,0,0,4,2,0,0,0,0,0,6
   model nespecificat,173,0,0,0,5,16,152,0,0,0,0,1,172
 total marca HENIN BEUMONT,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HENNIGSDORF,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HERMANN,14,0,0,0,1,1,12,0,0,0,0,0,14
   model SSA,2,0,0,0,1,0,1,0,0,0,0,0,2
   model nespecificat,12,0,0,0,0,1,11,0,0,0,0,0,12
 total marca HERMANNS,4,0,0,0,1,1,2,0,0,0,0,0,4
   model nespecificat,4,0,0,0,1,1,2,0,0,0,0,0,4
 total marca HERTOGHS,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HEUSER,13,0,0,0,2,0,11,0,0,0,0,1,12
   model nespecificat,13,0,0,0,2,0,11,0,0,0,0,1,12
 total marca HFR,22,0,0,0,6,5,11,0,0,0,0,1,21
   model T12887-00,1,0,0,0,0,1,0,0,0,0,0,0,1
   model nespecificat,21,0,0,0,6,4,11,0,0,0,0,1,20
 total marca HIAROM,1,1,0,0,0,0,0,0,0,1,0,0,0
   model nespecificat,1,1,0,0,0,0,0,0,0,1,0,0,0
 total marca HILTL,4,0,0,0,0,0,4,0,0,0,0,0,4
   model nespecificat,4,0,0,0,0,0,4,0,0,0,0,0,4
 total marca HIRSCH,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HKM,3,0,0,0,0,0,3,0,0,0,0,0,3
   model nespecificat,3,0,0,0,0,0,3,0,0,0,0,0,3
 total marca HLS,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HMK BILCON,2,0,0,0,1,1,0,0,0,0,0,0,2
   model nespecificat,2,0,0,0,1,1,0,0,0,0,0,0,2
 total marca HODGEP,21,0,0,0,0,0,21,0,0,0,0,0,21
   model nespecificat,21,0,0,0,0,0,21,0,0,0,0,0,21
 total marca HOENKHAUS,4,0,0,0,2,0,2,0,0,0,0,0,4
   model KARRENA,1,0,0,0,1,0,0,0,0,0,0,0,1
   model nespecificat,3,0,0,0,1,0,2,0,0,0,0,0,3
 total marca HOENKNAUS,8,0,0,0,2,3,3,0,0,0,0,1,7
   model KARRENA,1,0,0,0,0,1,0,0,0,0,0,0,1
   model nespecificat,7,0,0,0,2,2,3,0,0,0,0,1,6
 total marca HOFFMANN,14,0,0,0,0,7,7,0,0,0,0,0,14
   model LSTU 50.0/3,1,0,0,0,0,1,0,0,0,0,0,0,1
   model nespecificat,13,0,0,0,0,6,7,0,0,0,0,0,13
 total marca HOFMANN,20,0,0,0,0,2,18,0,0,0,0,0,20
   model nespecificat,20,0,0,0,0,2,18,0,0,0,0,0,20
 total marca HORZ,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HR SREMA,22,0,0,9,10,1,2,0,0,0,8,11,3
   model nespecificat,22,0,0,9,10,1,2,0,0,0,8,11,3
 total marca HRD,41,2,2,6,14,14,3,0,0,4,3,10,24
   model STTM4N,1,0,0,0,1,0,0,0,0,0,0,1,0
   model nespecificat,40,2,2,6,13,14,3,0,0,4,3,9,24
 total marca HTF,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HUEFFERMANN,1,0,0,1,0,0,0,0,0,0,0,1,0
   model nespecificat,1,0,0,1,0,0,0,0,0,0,0,1,0
 total marca HUFFERMANN,1,0,0,0,0,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,0,0,0,0,1
 total marca HUIFOPBOUW,2,0,0,0,0,0,2,0,0,0,0,0,2
   model nespecificat,2,0,0,0,0,0,2,0,0,0,0,0,2
 total marca HUMBAUR,410,0,0,35,375,0,0,0,0,0,8,206,196
   model HSA2006,2,0,0,0,2,0,0,0,0,0,0,1,1
   model HSA351324,95,0,0,2,93,0,0,0,0,0,1,21,73
   model HSA351324 S,1,0,0,0,1,0,0,0,0,0,0,1,0
   model HSA351324S,2,0,0,0,2,0,0,0,0,0,0,2,0
   model HSA391324,68,0,0,2,66,0,0,0,0,0,0,24,44
   model HSA391324 S,5,0,0,5,0,0,0,0,0,0,5,0,0
   model HSA391324S,1,0,0,0,1,0,0,0,0,0,0,1,0
   model MEGA351324,11,0,0,2,9,0,0,0,0,0,0,5,6
   model nespecificat,225,0,0,24,201,0,0,0,0,0,2,151,72
 total marca HUTTNER,30,0,0,2,5,8,15,0,0,0,0,3,27
   model nespecificat,30,0,0,2,5,8,15,0,0,0,0,3,27
 total marca I REMA,6,0,0,1,1,2,2,0,0,0,1,1,4
   model M300,1,0,0,0,1,0,0,0,0,0,0,1,0
   model nespecificat,5,0,0,1,0,2,2,0,0,0,1,0,4
 total marca I SREMA,189,5,15,7,52,44,66,0,0,9,14,21,145
   model CARMOSINO,2,1,0,0,1,0,0,0,0,1,0,0,1
   model CCFC,1,0,0,0,0,1,0,0,0,0,0,0,1
   model CM39,1,0,0,0,0,1,0,0,0,0,0,0,1
   model DE FILIPPI,1,0,0,0,0,0,1,0,0,0,0,0,1
   model ECOTRAILER,1,0,1,0,0,0,0,0,0,1,0,0,0
   model EUROSTRADA,1,0,0,0,0,0,1,0,0,0,0,0,1
   model LC 44 3PE,1,0,0,0,0,0,1,0,0,0,0,0,1
   model LC 44 3TP,1,0,0,0,0,0,1,0,0,0,0,0,1
   model MB/36A,1,0,0,0,0,0,1,0,0,0,0,0,1
   model MERKER,1,0,1,0,0,0,0,0,0,1,0,0,0
   model PAGANINI,1,0,1,0,0,0,0,0,0,0,1,0,0
   model SLP 136,1,0,0,0,0,0,1,0,0,0,0,0,1
   model SM39,1,0,0,0,0,1,0,0,0,0,0,0,1
   model nespecificat,175,4,12,7,51,41,60,0,0,6,13,21,135
 total marca I.M. MIRSA,2,0,0,0,0,0,2,0,0,0,0,0,2
   model nespecificat,2,0,0,0,0,0,2,0,0,0,0,0,2
 total marca I.M.MIRSA,10,0,0,0,0,1,9,0,0,0,0,0,10
   model nespecificat,10,0,0,0,0,1,9,0,0,0,0,0,10
 total marca IFA,21,0,0,0,0,0,21,0,0,0,0,0,21
   model nespecificat,21,0,0,0,0,0,21,0,0,0,0,0,21
 total marca IFB ISERNHAGEN,14,0,0,0,0,0,14,0,0,0,0,0,14
   model nespecificat,14,0,0,0,0,0,14,0,0,0,0,0,14
 total marca IFE,4,0,0,0,0,0,4,0,0,0,0,0,4
   model nespecificat,4,0,0,0,0,0,4,0,0,0,0,0,4
 total marca INC SECKINLER,10,4,6,0,0,0,0,0,0,10,0,0,0
   model NCSC8,10,4,6,0,0,0,0,0,0,10,0,0,0
 total marca INDE,8,4,4,0,0,0,0,0,0,8,0,0,0
